,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-02-01,0,0,0,0.0,0.5
2020-02-02,0,0,0,0.0,0.5
2020-02-03,0,0,0,0.0,0.5
2020-02-04,0,0,0,0.0,0.5
2020-02-05,0,0,0,0.0,0.5
2020-02-06,0,0,0,0.0,0.5
2020-02-07,0,0,0,0.0,0.5
2020-02-08,0,0,0,0.0,0.5
2020-02-09,0,0,0,0.0,0.5
2020-02-10,0,0,0,0.0,0.5
2020-02-11,0,0,0,0.0,0.5
2020-02-12,0,0,0,0.0,0.5
2020-02-13,0,0,0,0.0,0.5
2020-02-14,0,0,0,0.0,0.5
2020-02-15,0,0,0,0.0,0.5
2020-02-16,0,0,0,0.0,0.5
2020-02-17,0,0,0,0.0,0.5
2020-02-18,0,0,0,0.0,0.5
2020-02-19,0,0,0,0.0,0.5
2020-02-20,0,0,0,0.0,0.5
2020-02-21,0,0,0,0.0,0.5
2020-02-22,0,0,0,0.0,0.5
2020-02-23,0,0,0,0.0,0.5
2020-02-24,0,0,0,0.0,0.5
2020-02-25,0,0,0,0.0,0.5
2020-02-26,0,0,0,0.0,0.5
2020-02-27,0,0,0,0.0,0.5
2020-02-28,0,0,0,0.0,0.5
2020-02-29,0,0,0,0.0,0.5
2020-03-01,18,62,80,53.58034263784066,0.6697542829730082
2020-03-02,22,34,56,31.08279588352889,0.5550499264915872
2020-03-03,9,19,28,16.47243411024101,0.5883012182228933
2020-03-04,13,14,27,12.945863859727979,0.47947643924918437
2020-03-05,12,11,23,11.259761366993189,0.4895548420431821
2020-03-06,17,5,22,5.182596373837441,0.2355725624471564
2020-03-07,4,8,12,6.887279871851206,0.5739399893209338
2020-03-08,2,2,4,2.253327026963234,0.5633317567408085
2020-03-09,6,6,12,4.947053215000778,0.4122544345833982
2020-03-10,5,8,13,7.3530611586757,0.5656200891289
2020-03-11,6,7,13,5.89960743766278,0.4538159567432908
2020-03-12,6,6,12,5.443321357946843,0.4536101131622369
2020-03-13,4,5,9,4.222326122224331,0.46914734691381454
2020-03-14,2,3,5,2.5437017963267863,0.5087403592653572
2020-03-15,8,7,15,6.592789149843156,0.43951927665621043
2020-03-16,6,6,12,4.6900162333622575,0.39083468611352146
2020-03-17,14,11,25,10.126805605366826,0.40507222421467304
2020-03-18,6,5,11,5.207809906452894,0.4734372642229904
2020-03-19,3,10,13,8.262339677661657,0.6355645905893582
2020-03-20,8,5,13,4.79036612669006,0.3684897020530815
2020-03-21,6,10,16,9.674731073901057,0.6046706921188161
2020-03-22,4,5,9,4.702856192365289,0.5225395769294765
2020-03-23,3,6,9,5.316352307796478,0.5907058119773865
2020-03-24,8,8,16,7.278566871769726,0.4549104294856079
2020-03-25,2,3,5,2.7824424486607313,0.5564884897321463
2020-03-26,1,11,12,8.182061083614826,0.6818384236345688
2020-03-27,10,5,15,5.1512952810153365,0.3434196854010224
2020-03-28,8,8,16,7.257172945421189,0.4535733090888243
2020-03-29,2,3,5,2.8901209887117147,0.5780241977423429
2020-03-30,5,19,24,16.902415834367275,0.7042673264319698
2020-03-31,29,39,68,35.262937815859914,0.5185726149391163
2020-04-01,12,66,78,46.28273660317063,0.5933684179893671
2020-04-02,10,9,19,8.227801267523319,0.4330421719749115
2020-04-03,7,6,13,5.901295725256205,0.45394582501970804
2020-04-04,4,1,5,0.9142329450696707,0.18284658901393414
2020-04-05,1,3,4,2.7110940515995026,0.6777735128998756
2020-04-06,5,8,13,7.541130492463708,0.5800869609587468
2020-04-07,8,9,17,8.656254538334906,0.509191443431465
2020-04-08,14,6,20,6.319625161588192,0.3159812580794096
2020-04-09,18,10,28,11.08504834305495,0.39589458368053393
2020-04-10,15,101,116,80.17291109357029,0.6911457852893991
2020-04-11,6,37,43,29.60713454335928,0.6885380126362624
2020-04-12,1,24,25,19.399402821436524,0.7759761128574609
2020-04-13,8,15,23,13.321316034533083,0.5791876536753514
2020-04-14,9,16,25,14.095174407586455,0.5638069763034582
2020-04-15,9,15,24,12.31078361067921,0.5129493171116337
2020-04-16,40,35,75,39.40826895274222,0.5254435860365629
2020-04-17,41,63,104,56.92048596730456,0.5473123650702362
