,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-02-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-07,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-08,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-09,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-12,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-13,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-14,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-16,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-17,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-18,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-19,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-20,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-21,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-22,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-23,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-24,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-25,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-26,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-27,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-28,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-29,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-01,8,56,64,44.48414038354531,0.6950646934928955,0.0,0.0,0.640625,0.0,0.234375,0.078125,0.015625,0.421875,0.328125,0.671875,0.640625,1
2020-03-02,10,31,41,23.491455147974193,0.5729623206822974,0.0,0.024390243902439025,0.7804878048780488,0.024390243902439025,0.0975609756097561,0.04878048780487805,0.0,0.2682926829268293,0.36585365853658536,0.5121951219512195,0.7317073170731707,1
2020-03-03,7,16,23,12.827218837337568,0.5577051668407639,0.0,0.0,0.4782608695652174,0.043478260869565216,0.391304347826087,0.08695652173913043,0.0,0.2608695652173913,0.43478260869565216,0.4782608695652174,0.782608695652174,1
2020-03-04,12,8,20,7.3694765735417604,0.368473828677088,0.0,0.0,0.4,0.0,0.35,0.2,0.0,0.1,0.55,0.65,0.75,1
2020-03-05,10,9,19,8.732122037559748,0.45958537039788144,0.0,0.0,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.3157894736842105,0.0,0.3684210526315789,0.3157894736842105,0.5263157894736842,0.7894736842105263,1
2020-03-06,16,3,19,3.094814259093255,0.16288496100490815,0.0,0.0,0.47368421052631576,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.0,0.0,0.631578947368421,0.5789473684210527,0.9473684210526315,1
2020-03-07,3,7,10,5.880820441991091,0.588082044199109,0.0,0.0,0.3,0.1,0.3,0.3,0.0,0.4,0.2,0.9,1.0,1
2020-03-08,2,1,3,1.2894665151834488,0.4298221717278163,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1
2020-03-09,6,6,12,4.947053215000778,0.4122544345833982,0.0,0.0,0.25,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.75,0.8333333333333334,2
2020-03-10,5,3,8,2.8947832179255784,0.3618479022406973,0.0,0.25,0.0,0.125,0.5,0.125,0.0,0.25,0.375,0.625,0.625,1
2020-03-11,6,7,13,5.89960743766278,0.4538159567432908,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.15384615384615385,0.5384615384615384,0.46153846153846156,0.6923076923076923,1
2020-03-12,5,3,8,2.5816945540718734,0.3227118192589842,0.0,0.0,0.5,0.25,0.125,0.0,0.0,0.125,0.625,0.5,0.625,1
2020-03-13,3,2,5,1.3565257117152214,0.27130514234304426,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.2,0.8,0.8,1.0,1
2020-03-14,2,1,3,0.7946199462749064,0.2648733154249688,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,1.0,2
2020-03-15,8,5,13,4.866603112779558,0.37435408559842753,0.0,0.0,0.38461538461538464,0.0,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.8461538461538461,3
2020-03-16,6,5,11,3.7007854217663407,0.33643503834239463,0.0,0.0,0.36363636363636365,0.0,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.8181818181818182,0.7272727272727273,1
2020-03-17,9,9,18,6.677386084571481,0.3709658935873045,0.05555555555555555,0.0,0.6666666666666666,0.0,0.1111111111111111,0.16666666666666666,0.0,0.16666666666666666,0.5,0.6111111111111112,0.5,1
2020-03-18,4,2,6,1.9553631953895092,0.32589386589825153,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,1
2020-03-19,2,5,7,4.200226034969091,0.6000322907098702,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,1
2020-03-20,8,3,11,3.054926468525082,0.2777205880477347,0.0,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.0,0.18181818181818182,0.0,0.18181818181818182,0.45454545454545453,0.5454545454545454,1.0,1
2020-03-21,4,8,12,7.223386583849788,0.6019488819874823,0.0,0.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.5,1
2020-03-22,3,4,7,3.481260607019067,0.4973229438598667,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.8571428571428571,1
2020-03-23,2,3,5,2.5352549850940704,0.5070509970188141,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.4,0.8,1.0,1
2020-03-24,8,3,11,3.1655233846977353,0.2877748531543396,0.0,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.8181818181818182,2
2020-03-25,2,1,3,0.8276191931217909,0.2758730643739303,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1
2020-03-26,1,8,9,5.668993480503559,0.6298881645003954,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.0,0.5555555555555556,2
2020-03-27,7,3,10,2.6635472010821104,0.26635472010821104,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.2,0.5,0.6,0.8,1
2020-03-28,7,3,10,2.5251196953468025,0.25251196953468025,0.0,0.2,0.0,0.2,0.1,0.4,0.0,0.0,0.4,0.8,0.4,1
2020-03-29,2,1,3,1.0308935698121786,0.3436311899373929,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
2020-03-30,4,14,18,12.272458773106337,0.6818032651725743,0.0,0.1111111111111111,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.0,0.16666666666666666,0.4444444444444444,0.4444444444444444,0.7222222222222222,2
2020-03-31,25,37,62,32.30800781957805,0.521096900315775,0.0,0.0,0.22580645161290322,0.016129032258064516,0.5967741935483871,0.016129032258064516,0.0,0.41935483870967744,0.3870967741935484,0.5483870967741935,0.6935483870967742,1
2020-04-01,12,62,74,42.568958047777414,0.57525618983483,0.0,0.013513513513513514,0.04054054054054054,0.0,0.16216216216216217,0.05405405405405406,0.0,0.06756756756756757,0.43243243243243246,0.33783783783783783,0.6216216216216216,1
2020-04-02,9,6,15,4.971757386345416,0.33145049242302776,0.0,0.0,0.2,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.4666666666666667,0.7333333333333333,0.8,1
2020-04-03,7,3,10,3.096231583505869,0.3096231583505869,0.0,0.0,0.2,0.1,0.3,0.3,0.0,0.2,0.6,0.8,0.6,1
2020-04-04,3,1,4,0.8782209623605013,0.21955524059012532,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.75,0.75,1
2020-04-05,1,1,2,0.9501675069332123,0.47508375346660614,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,2
2020-04-06,3,7,10,6.025494867935777,0.6025494867935777,0.0,0.0,0.1,0.0,0.5,0.3,0.0,0.1,0.7,0.6,0.8,3
2020-04-07,7,6,13,5.776636072434485,0.44435662095649886,0.07692307692307693,0.0,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.0,0.6923076923076923,0.6923076923076923,0.6153846153846154,1
2020-04-08,14,3,17,4.148634575307369,0.244037327959257,0.0,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.47058823529411764,0.058823529411764705,0.0,0.47058823529411764,0.5882352941176471,0.7647058823529411,1
2020-04-09,16,8,24,8.637451390735805,0.35989380794732523,0.0,0.041666666666666664,0.125,0.08333333333333333,0.4166666666666667,0.25,0.041666666666666664,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.625,1
2020-04-10,14,94,108,73.74510120693594,0.6828250111753328,0.0,0.3888888888888889,0.018518518518518517,0.0,0.5555555555555556,0.037037037037037035,0.0,0.49074074074074076,0.26851851851851855,0.5277777777777778,0.6666666666666666,1
2020-04-11,6,36,42,28.72649969905615,0.6839642785489559,0.0,0.5,0.047619047619047616,0.023809523809523808,0.35714285714285715,0.047619047619047616,0.023809523809523808,0.5,0.2857142857142857,0.47619047619047616,0.6190476190476191,1
2020-04-12,1,18,19,14.061318660154939,0.7400694031660494,0.0,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.0,0.0,0.42105263157894735,0.2631578947368421,0.6842105263157895,0.7368421052631579,1
2020-04-13,8,8,16,6.831865937449038,0.4269916210905649,0.0,0.25,0.1875,0.0625,0.4375,0.0625,0.0,0.1875,0.5625,0.4375,0.875,1
2020-04-14,9,12,21,10.386449432000518,0.4945928300952628,0.0,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.47619047619047616,0.047619047619047616,0.0,0.23809523809523808,0.3333333333333333,0.8095238095238095,0.7142857142857143,1
