,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-02-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-07,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-08,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-09,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-12,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-13,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-14,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-16,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-17,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-18,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-19,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-20,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-21,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-22,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-23,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-24,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-25,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-26,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-27,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-28,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-29,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-04,3,1,4,1.7373252734541893,0.4343313183635473,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.5,1.0,1.0,1
2020-03-05,6,9,15,8.581060653552413,0.5720707102368275,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.3333333333333333,0.6666666666666666,0.7333333333333333,2
2020-03-06,5,4,9,4.685516320168972,0.5206129244632192,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6666666666666666,1
2020-03-07,11,6,17,5.675509121268988,0.33385347772170515,0.0,0.0,0.23529411764705882,0.0,0.29411764705882354,0.23529411764705882,0.0,0.17647058823529413,0.35294117647058826,0.7058823529411765,0.7058823529411765,1
2020-03-08,11,1,12,2.2507402724586427,0.18756168937155357,0.0,0.25,0.3333333333333333,0.25,0.0,0.0,0.0,0.16666666666666666,0.5,0.5833333333333334,0.6666666666666666,1
2020-03-09,7,8,15,7.036942349746823,0.46912948998312154,0.0,0.0,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.0,0.2,0.4666666666666667,0.5333333333333333,0.5333333333333333,1
2020-03-10,11,7,18,6.471395052038133,0.35952194733545184,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.6666666666666666,0.8333333333333334,0.7222222222222222,1
2020-03-11,9,12,21,9.415527048287913,0.44835843087085303,0.14285714285714285,0.0,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.6666666666666666,0.8095238095238095,0.6666666666666666,1
2020-03-12,10,8,18,6.525914297439158,0.36255079430217546,0.05555555555555555,0.0,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.5555555555555556,0.5555555555555556,0.7222222222222222,1
2020-03-13,7,31,38,24.168564568739384,0.636014857072089,0.02631578947368421,0.02631578947368421,0.631578947368421,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.5789473684210527,0.5526315789473685,0.39473684210526316,0.4473684210526316,1
2020-03-14,7,12,19,10.245931221172214,0.5392595379564323,0.0,0.0,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.0,0.2631578947368421,0.6842105263157895,0.7368421052631579,0.7894736842105263,1
2020-03-15,8,5,13,4.5697064637206495,0.35151588182466537,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.5384615384615384,0.6153846153846154,0.5384615384615384,1
2020-03-16,15,12,27,10.498919474659488,0.3888488694318329,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.37037037037037035,0.18518518518518517,0.0,0.14814814814814814,0.5555555555555556,0.7037037037037037,0.7037037037037037,1
2020-03-17,8,10,18,8.116806136444211,0.4509336742469006,0.05555555555555555,0.1111111111111111,0.0,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.7777777777777778,1
2020-03-18,14,10,24,8.85470396000892,0.36894599833370495,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.75,0.7916666666666666,0.625,1
2020-03-19,10,7,17,7.199799463152885,0.4235176154795815,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.7647058823529411,0.6470588235294118,0.7647058823529411,1
2020-03-20,6,25,31,19.632010720670223,0.6332906684087168,0.0,0.06451612903225806,0.5483870967741935,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.0,0.06451612903225806,0.5161290322580645,0.3870967741935484,0.5806451612903226,1
2020-03-21,8,9,17,7.781923437491059,0.4577602022053564,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.0,0.11764705882352941,0.47058823529411764,0.7058823529411765,0.7647058823529411,1
2020-03-22,9,9,18,7.654438426718116,0.42524657926211756,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.5,0.7222222222222222,0.5555555555555556,1
2020-03-23,15,22,37,21.16755924653262,0.5720961958522329,0.0,0.10810810810810811,0.10810810810810811,0.4864864864864865,0.10810810810810811,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.5675675675675675,0.4864864864864865,0.8378378378378378,1
2020-03-24,15,5,20,5.606416615657508,0.2803208307828754,0.0,0.1,0.25,0.0,0.2,0.15,0.15,0.1,0.6,0.6,0.55,1
2020-03-25,17,11,28,11.560761587694287,0.4128843424176531,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.6428571428571429,0.7142857142857143,0.6428571428571429,1
2020-03-26,6,3,9,3.4862733967602253,0.3873637107511361,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.7777777777777778,1
2020-03-27,8,4,12,3.5634142770431936,0.29695118975359946,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,0.6666666666666666,0.75,0.6666666666666666,1
2020-03-28,8,5,13,4.918593851849437,0.37835337321918744,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,0.0,0.3076923076923077,0.0,0.07692307692307693,0.6923076923076923,0.7692307692307693,0.7692307692307693,1
2020-03-29,10,0,10,0.602886563166976,0.060288656316697595,0.0,0.0,0.1,0.0,0.1,0.5,0.0,0.1,0.8,0.4,0.4,1
2020-03-30,8,4,12,4.308366414159536,0.3590305345132947,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.0,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,1
2020-03-31,9,11,20,9.084186516702175,0.45420932583510876,0.0,0.05,0.0,0.15,0.0,0.15,0.55,0.05,0.6,0.35,0.7,1
2020-04-01,3,3,6,2.807455980218947,0.46790933003649116,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,1
2020-04-02,5,2,7,2.5576674044132233,0.3653810577733176,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.8571428571428571,1
2020-04-03,6,5,11,4.643938986584544,0.42217627150768583,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.6363636363636364,0.9090909090909091,0.8181818181818182,1
2020-04-04,4,3,7,2.990229917690158,0.4271757025271654,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1
2020-04-05,8,3,11,3.3494814787991345,0.30449831625446677,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.8181818181818182,0.5454545454545454,0.45454545454545453,1
2020-04-06,8,4,12,3.7616632720455527,0.3134719393371294,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.8333333333333334,0.5833333333333334,0.6666666666666666,1
2020-04-07,8,10,18,9.962688689120114,0.5534827049511174,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.05555555555555555,0.2777777777777778,0.0,0.2222222222222222,0.7222222222222222,0.6666666666666666,0.5555555555555556,1
2020-04-08,36,10,46,14.816692424938083,0.3221020092377844,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.021739130434782608,0.6739130434782609,0.043478260869565216,0.021739130434782608,0.8478260869565217,0.43478260869565216,0.5,1
2020-04-09,646,57,703,215.64009037986398,0.30674266056879657,0.012802275960170697,0.8705547652916074,0.01422475106685633,0.001422475106685633,0.005689900426742532,0.029871977240398292,0.00995732574679943,0.01849217638691323,0.8165007112375533,0.35561877667140823,0.6600284495021337,1
2020-04-10,67,13,80,25.761870328802615,0.3220233791100327,0.0125,0.725,0.0,0.0,0.025,0.1125,0.0375,0.0375,0.725,0.2625,0.675,1
