,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-02-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-07,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-08,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-09,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-12,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-13,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-14,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-16,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-17,17,5,22,6.257513395510614,0.2844324270686643,0.0,0.0,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.0,0.045454545454545456,0.36363636363636365,0.8636363636363636,0.7727272727272727,1
2020-02-18,21,13,34,11.777346034999937,0.34639253044117463,0.0,0.029411764705882353,0.2647058823529412,0.0,0.38235294117647056,0.14705882352941177,0.0,0.08823529411764706,0.5588235294117647,0.6176470588235294,0.8529411764705882,1
2020-02-19,10,9,19,9.232672974001616,0.48593015652640087,0.0,0.0,0.10526315789473684,0.10526315789473684,0.47368421052631576,0.15789473684210525,0.0,0.0,0.42105263157894735,0.7368421052631579,0.631578947368421,1
2020-02-20,7,11,18,9.224757747724652,0.5124865415402584,0.0,0.16666666666666666,0.2777777777777778,0.0,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.6666666666666666,1
2020-02-21,14,6,20,7.000403833342716,0.3500201916671358,0.05,0.0,0.2,0.15,0.1,0.35,0.1,0.05,0.45,0.9,0.6,1
2020-02-22,14,6,20,7.046345850452781,0.35231729252263905,0.0,0.1,0.15,0.05,0.35,0.25,0.0,0.1,0.55,0.6,0.7,1
2020-02-23,25,13,38,13.039270374458283,0.34313869406469166,0.0,0.0,0.6842105263157895,0.02631578947368421,0.15789473684210525,0.10526315789473684,0.0,0.10526315789473684,0.5526315789473685,0.6842105263157895,0.7368421052631579,1
2020-02-24,93,33,126,32.69874858483672,0.2595138776574343,0.031746031746031744,0.015873015873015872,0.6111111111111112,0.07142857142857142,0.07142857142857142,0.0873015873015873,0.015873015873015872,0.05555555555555555,0.42063492063492064,0.6666666666666666,0.6428571428571429,1
2020-02-25,22,10,32,8.77864261996001,0.2743325818737503,0.0625,0.0625,0.375,0.0625,0.09375,0.25,0.03125,0.03125,0.78125,0.4375,0.6875,1
2020-02-26,15,15,30,14.064605857245624,0.4688201952415208,0.1,0.03333333333333333,0.3333333333333333,0.0,0.26666666666666666,0.1,0.1,0.06666666666666667,0.5,0.8,0.6,1
2020-02-27,12,13,25,11.450933102052659,0.45803732408210635,0.08,0.08,0.12,0.2,0.16,0.2,0.0,0.12,0.64,0.68,0.76,1
2020-02-28,83,15,98,19.28729590587318,0.1968091418966651,0.01020408163265306,0.02040816326530612,0.17346938775510204,0.05102040816326531,0.030612244897959183,0.08163265306122448,0.01020408163265306,0.061224489795918366,0.5612244897959183,0.6836734693877551,0.6530612244897959,1
2020-02-29,34,6,40,9.414192384108901,0.23535480960272254,0.0,0.0,0.6,0.075,0.025,0.1,0.05,0.025,0.475,0.825,0.75,1
2020-03-01,19,20,39,18.210998518392444,0.4669486799587806,0.02564102564102564,0.0,0.1794871794871795,0.05128205128205128,0.1794871794871795,0.28205128205128205,0.10256410256410256,0.23076923076923078,0.3333333333333333,0.6666666666666666,0.7692307692307693,1
2020-03-02,20,25,45,22.97229437623173,0.5104954305829273,0.022222222222222223,0.0,0.24444444444444444,0.15555555555555556,0.17777777777777778,0.3111111111111111,0.044444444444444446,0.06666666666666667,0.5777777777777777,0.7777777777777778,0.7777777777777778,1
2020-03-03,32,31,63,28.626316661946476,0.4543859787610552,0.031746031746031744,0.047619047619047616,0.1111111111111111,0.14285714285714285,0.2857142857142857,0.2222222222222222,0.12698412698412698,0.2698412698412698,0.5714285714285714,0.6507936507936508,0.8888888888888888,1
2020-03-04,112,26,138,49.05504024354741,0.35547130611266237,0.6086956521739131,0.014492753623188406,0.028985507246376812,0.07971014492753623,0.15942028985507245,0.06521739130434782,0.007246376811594203,0.08695652173913043,0.4420289855072464,0.2971014492753623,0.5579710144927537,1
2020-03-05,43,43,86,43.08102933410555,0.5009422015593669,0.11627906976744186,0.011627906976744186,0.08139534883720931,0.08139534883720931,0.43023255813953487,0.2558139534883721,0.011627906976744186,0.27906976744186046,0.37209302325581395,0.4069767441860465,0.6395348837209303,1
2020-03-06,15,32,47,29.08111414220184,0.6187471094085498,0.02127659574468085,0.0,0.14893617021276595,0.19148936170212766,0.44680851063829785,0.10638297872340426,0.0851063829787234,0.23404255319148937,0.3404255319148936,0.5957446808510638,0.5319148936170213,1
2020-03-07,71,296,367,229.84097361704335,0.6262696828802271,0.005449591280653951,0.0027247956403269754,0.05449591280653951,0.021798365122615803,0.04904632152588556,0.04087193460490463,0.782016348773842,0.04087193460490463,0.48501362397820164,0.670299727520436,0.5095367847411444,1
2020-03-08,33,57,90,46.63430651393719,0.5181589612659688,0.011111111111111112,0.0,0.06666666666666667,0.23333333333333334,0.18888888888888888,0.15555555555555556,0.3111111111111111,0.1111111111111111,0.4222222222222222,0.6555555555555556,0.5888888888888889,1
2020-03-09,16,93,109,74.6790296244435,0.6851287121508578,0.01834862385321101,0.027522935779816515,0.045871559633027525,0.07339449541284404,0.6788990825688074,0.12844036697247707,0.009174311926605505,0.5229357798165137,0.41284403669724773,0.3211009174311927,0.6880733944954128,1
2020-03-10,32,20,52,20.27733078505844,0.3899486689434315,0.019230769230769232,0.0,0.057692307692307696,0.25,0.3076923076923077,0.19230769230769232,0.038461538461538464,0.07692307692307693,0.5,0.6346153846153846,0.7115384615384616,1
2020-03-11,35,33,68,30.017325735650957,0.4414312608183964,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.29411764705882354,0.27941176470588236,0.25,0.014705882352941176,0.25,0.47058823529411764,0.5588235294117647,0.7058823529411765,1
2020-03-12,29,28,57,25.781490945024416,0.4523068586846389,0.0,0.017543859649122806,0.14035087719298245,0.3684210526315789,0.08771929824561403,0.3157894736842105,0.05263157894736842,0.22807017543859648,0.6666666666666666,0.6140350877192983,0.7368421052631579,1
2020-03-13,22,28,50,26.191915119998157,0.5238383023999631,0.04,0.0,0.08,0.4,0.08,0.18,0.1,0.24,0.56,0.6,0.58,1
2020-03-14,14,25,39,21.533560467883945,0.5521425760995883,0.02564102564102564,0.0,0.10256410256410256,0.48717948717948717,0.1282051282051282,0.1794871794871795,0.07692307692307693,0.3333333333333333,0.4358974358974359,0.5384615384615384,0.7435897435897436,1
2020-03-15,11,31,42,27.174348135478795,0.6470082889399713,0.09523809523809523,0.0,0.047619047619047616,0.3333333333333333,0.21428571428571427,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.5714285714285714,0.5952380952380952,0.7142857142857143,1
2020-03-16,18,15,33,15.39059550408274,0.4663816819419012,0.030303030303030304,0.15151515151515152,0.3333333333333333,0.18181818181818182,0.06060606060606061,0.12121212121212122,0.06060606060606061,0.09090909090909091,0.6363636363636364,0.6363636363636364,0.8484848484848485,1
2020-03-17,1,4,5,3.8849643766880035,0.7769928753376008,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.4,0.8,0.8,0.6,1
2020-03-18,3,3,6,2.6991030424833298,0.44985050708055496,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,2
2020-03-19,2,4,6,4.066537857055664,0.6777563095092773,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,1
2020-03-20,1,7,8,5.818388197571039,0.7272985246963799,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1
2020-03-21,0,1,1,0.7609480619430542,0.7609480619430542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
2020-03-22,2,3,5,2.6164027438499033,0.5232805487699806,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.8,0.8,2
2020-03-23,1,9,10,7.367989337071776,0.7367989337071776,0.1,0.0,0.2,0.3,0.4,0.0,0.0,0.1,0.4,0.2,0.5,3
2020-03-24,18,22,40,19.26547344448045,0.48163683611201125,0.05,0.025,0.15,0.125,0.375,0.225,0.0,0.225,0.625,0.725,0.75,1
2020-03-25,17,15,32,15.27890160214156,0.4774656750669237,0.125,0.0,0.125,0.03125,0.3125,0.3125,0.03125,0.15625,0.6875,0.625,0.5625,1
2020-03-26,93,16,109,28.688420431688428,0.26319651772191216,0.009174311926605505,0.009174311926605505,0.05504587155963303,0.11926605504587157,0.6238532110091743,0.1651376146788991,0.009174311926605505,0.045871559633027525,0.3853211009174312,0.6605504587155964,0.5963302752293578,1
2020-03-27,24,15,39,15.889480989426374,0.4074225894724711,0.05128205128205128,0.0,0.07692307692307693,0.1282051282051282,0.46153846153846156,0.2564102564102564,0.0,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.6410256410256411,1
2020-03-28,13,12,25,11.348265431355685,0.4539306172542274,0.0,0.12,0.04,0.04,0.4,0.2,0.08,0.12,0.48,0.6,0.8,1
2020-03-29,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-30,7,12,19,9.827424116432667,0.5172328482332983,0.05263157894736842,0.0,0.15789473684210525,0.42105263157894735,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.5263157894736842,0.8947368421052632,0.6842105263157895,1
2020-03-31,11,16,27,14.29174542799592,0.5293239047405897,0.0,0.0,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.3333333333333333,0.18518518518518517,0.07407407407407407,0.6296296296296297,0.5185185185185185,0.5185185185185185,1
2020-04-01,10,16,26,14.522929057944566,0.5585741945363295,0.0,0.038461538461538464,0.0,0.19230769230769232,0.34615384615384615,0.4230769230769231,0.0,0.19230769230769232,0.6923076923076923,0.6153846153846154,0.6153846153846154,1
2020-04-02,7,19,26,16.273316339123994,0.6258967822739998,0.0,0.0,0.15384615384615385,0.19230769230769232,0.19230769230769232,0.34615384615384615,0.07692307692307693,0.34615384615384615,0.6923076923076923,0.6153846153846154,0.7692307692307693,1
2020-04-03,15,22,37,20.52301660226658,0.5546761243855832,0.02702702702702703,0.05405405405405406,0.24324324324324326,0.21621621621621623,0.24324324324324326,0.10810810810810811,0.05405405405405406,0.13513513513513514,0.6216216216216216,0.6486486486486487,0.6486486486486487,1
2020-04-04,8,8,16,7.551976499147713,0.4719985311967321,0.0625,0.0,0.25,0.375,0.1875,0.0625,0.0,0.0625,0.6875,0.5625,0.6875,1
2020-04-05,4,29,33,23.698319107294083,0.7181308820392146,0.0,0.0,0.06060606060606061,0.3333333333333333,0.06060606060606061,0.45454545454545453,0.06060606060606061,0.18181818181818182,0.5454545454545454,0.42424242424242425,0.7575757575757576,1
2020-04-06,4,8,12,7.647493978962302,0.6372911649135252,0.0,0.0,0.25,0.5,0.0,0.16666666666666666,0.0,0.08333333333333333,0.5,0.6666666666666666,0.5833333333333334,1
