,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-02-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-07,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-08,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-09,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-12,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-13,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-14,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-16,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-17,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-18,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-19,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-20,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-21,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-22,0,1,1,0.743869423866272,0.743869423866272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2020-02-23,2,1,3,1.30531707406044,0.43510569135348004,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,2
2020-02-24,1,4,5,3.7020350098609924,0.7404070019721984,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.8,0.2,0.8,0.4,3
2020-02-25,1,1,2,0.7854588553309441,0.39272942766547203,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,4
2020-02-26,1,4,5,3.5363374650478363,0.7072674930095673,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,1.0,0.8,5
2020-02-27,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-28,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-29,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-01,0,1,1,0.7095081210136414,0.7095081210136414,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2020-03-02,0,3,3,2.306314170360565,0.7687713901201884,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,2
2020-03-03,0,1,1,0.8074862360954285,0.8074862360954285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3
2020-03-04,0,1,1,0.8230207562446594,0.8230207562446594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4
2020-03-05,1,3,4,2.930371046066284,0.732592761516571,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.75,1.0,5
2020-03-06,1,5,6,4.034759104251862,0.6724598507086436,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,6
2020-03-07,1,1,2,1.088012307882309,0.5440061539411545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
2020-03-08,1,2,3,1.2965319491922855,0.4321773163974285,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,2
2020-03-09,0,3,3,2.318621873855591,0.7728739579518636,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
2020-03-10,2,5,7,4.242794647812843,0.6061135211161205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,1.0,4
2020-03-11,2,4,6,3.1321124746464193,0.5220187457744032,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1
2020-03-12,0,2,2,1.3999871611595154,0.6999935805797577,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1
2020-03-13,3,1,4,1.2853401694446802,0.32133504236117005,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.25,1.0,0.75,2
2020-03-14,1,2,3,2.074870526790619,0.6916235089302063,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,3
2020-03-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-03-16,2,1,3,1.3629461750388145,0.45431539167960483,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
2020-03-17,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-03-18,0,2,2,1.8099376559257507,0.9049688279628754,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1
2020-03-19,1,0,1,0.2609919309616089,0.2609919309616089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-03-20,0,1,1,0.5430634021759033,0.5430634021759033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
2020-03-21,1,2,3,1.870175790041685,0.623391930013895,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,4
2020-03-22,1,5,6,4.239587962627411,0.7065979937712351,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,5
2020-03-23,0,10,10,7.602150619029999,0.7602150619029999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.3,0.5,0.8,1
2020-03-24,1,11,12,8.258279413217679,0.6881899511014732,0.0,0.0,0.08333333333333333,0.0,0.8333333333333334,0.0,0.08333333333333333,0.6666666666666666,0.25,0.6666666666666666,0.4166666666666667,1
2020-03-25,3,5,8,3.891326936893165,0.48641586711164564,0.125,0.125,0.25,0.125,0.375,0.0,0.0,0.125,0.125,0.5,0.625,1
2020-03-26,1,3,4,2.1851429734379053,0.5462857433594763,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.25,0.75,1.0,1
2020-03-27,2,44,46,34.20052534341812,0.7434896813786548,0.0,0.021739130434782608,0.8695652173913043,0.0,0.08695652173913043,0.021739130434782608,0.0,0.021739130434782608,0.4782608695652174,0.5652173913043478,0.6739130434782609,2
2020-03-28,1,14,15,10.91177722811699,0.7274518152077992,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.2,0.26666666666666666,0.6666666666666666,0.7333333333333333,1
2020-03-29,0,7,7,5.036187529563904,0.719455361366272,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.5714285714285714,1
2020-03-30,0,3,3,2.4192989468574524,0.8064329822858175,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1
2020-03-31,0,7,7,4.75304651260376,0.67900664465768,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.8571428571428571,2
2020-04-01,3,7,10,6.956452384591103,0.6956452384591103,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.1,0.3,0.5,0.5,1
2020-04-02,1,2,3,1.4759533256292343,0.49198444187641144,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1
2020-04-03,1,2,3,1.7807461023330688,0.593582034111023,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2
2020-04-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-04-05,2,2,4,2.07792766392231,0.5194819159805775,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.75,0.5,1
2020-04-06,3,6,9,4.960045795887709,0.5511161995430788,0.0,0.0,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.0,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7777777777777778,2
2020-04-07,3,7,10,5.974901407957077,0.5974901407957077,0.0,0.1,0.5,0.0,0.2,0.1,0.0,0.2,0.4,0.9,0.8,1
2020-04-08,4,14,18,12.161691827699542,0.6756495459833078,0.0,0.1111111111111111,0.2222222222222222,0.0,0.5,0.1111111111111111,0.0,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.7777777777777778,1
2020-04-09,5,26,31,22.118323475122452,0.7134943056491113,0.03225806451612903,0.0,0.3225806451612903,0.0,0.5161290322580645,0.06451612903225806,0.0,0.41935483870967744,0.1935483870967742,0.7741935483870968,0.7096774193548387,1
2020-04-10,3,4,7,3.720991374924779,0.5315701964178255,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.7142857142857143,1
2020-04-11,2,1,3,0.953411465510726,0.31780382183690864,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1
2020-04-12,2,1,3,1.1156658083200455,0.3718886027733485,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.0,0.3333333333333333,2
2020-04-13,3,4,7,3.6122262561693788,0.5160323223099113,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.2857142857142857,1.0,0.2857142857142857,3
2020-04-14,10,4,14,3.963071512756869,0.28307653662549065,0.0,0.07142857142857142,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.5,1
2020-04-15,5,3,8,2.499386101961136,0.312423262745142,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.25,0.875,0.75,0.625,1
2020-04-16,3,4,7,3.6130416486412287,0.516148806948747,0.14285714285714285,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.42857142857142855,1
2020-04-17,2,2,4,2.3283134792000055,0.5820783698000014,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.25,0.75,0.75,0.75,1
2020-04-18,1,2,3,1.3423220007680357,0.44744066692267853,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,2
