,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-02-01,0,0,0,0.0,0.5
2020-02-02,0,0,0,0.0,0.5
2020-02-03,0,0,0,0.0,0.5
2020-02-04,0,0,0,0.0,0.5
2020-02-05,0,0,0,0.0,0.5
2020-02-06,0,0,0,0.0,0.5
2020-02-07,0,0,0,0.0,0.5
2020-02-08,0,0,0,0.0,0.5
2020-02-09,0,0,0,0.0,0.5
2020-02-10,0,0,0,0.0,0.5
2020-02-11,0,0,0,0.0,0.5
2020-02-12,0,0,0,0.0,0.5
2020-02-13,0,0,0,0.0,0.5
2020-02-14,0,0,0,0.0,0.5
2020-02-15,0,0,0,0.0,0.5
2020-02-16,0,0,0,0.0,0.5
2020-02-17,17,5,22,6.257513395510614,0.2844324270686643
2020-02-18,21,15,36,13.528070231433958,0.3757797286509433
2020-02-19,12,9,21,10.051853104960173,0.47865967166477014
2020-02-20,13,14,27,14.532641844823956,0.5382459942527391
2020-02-21,16,7,23,8.763383042765781,0.3810166540332948
2020-02-22,14,8,22,8.574786862358451,0.3897630391981114
2020-02-23,26,13,39,13.047149813268334,0.33454230290431625
2020-02-24,94,34,128,33.65071926312521,0.2628962442431657
2020-02-25,22,15,37,13.138394202105701,0.35509173519204595
2020-02-26,16,15,31,14.33266672026366,0.46234408775044067
2020-02-27,13,13,26,11.74389800755307,0.45168838490588736
2020-02-28,84,15,99,19.40750984661281,0.196035452996089
2020-02-29,34,6,40,9.414192384108901,0.23535480960272254
2020-03-01,20,20,40,18.620588583871722,0.46551471459679306
2020-03-02,20,25,45,22.97229437623173,0.5104954305829273
2020-03-03,33,31,64,28.688180002383888,0.44825281253724825
2020-03-04,113,28,141,50.72930488316342,0.3597823041359108
2020-03-05,43,43,86,43.08102933410555,0.5009422015593669
2020-03-06,16,32,48,29.49070420768112,0.6143896709933566
2020-03-07,81,297,378,233.7974220458418,0.618511698533973
2020-03-08,36,57,93,47.863076710375026,0.5146567388212369
2020-03-09,17,94,111,75.92042038915679,0.6839677512536647
2020-03-10,32,20,52,20.27733078505844,0.3899486689434315
2020-03-11,36,33,69,30.09271968808025,0.43612637229101814
2020-03-12,30,29,59,26.705855131847784,0.4526416124041997
2020-03-13,23,28,51,26.601505185477436,0.5215981408917144
2020-03-14,14,27,41,23.073779238387942,0.5627751033753157
2020-03-15,11,31,42,27.174348135478795,0.6470082889399713
2020-03-16,18,15,33,15.39059550408274,0.4663816819419012
2020-03-17,1,4,5,3.8849643766880035,0.7769928753376008
2020-03-18,3,3,6,2.6991030424833298,0.44985050708055496
2020-03-19,2,4,6,4.066537857055664,0.6777563095092773
2020-03-20,1,7,8,5.818388197571039,0.7272985246963799
2020-03-21,0,1,1,0.7609480619430542,0.7609480619430542
2020-03-22,2,3,5,2.6164027438499033,0.5232805487699806
2020-03-23,1,9,10,7.367989337071776,0.7367989337071776
2020-03-24,19,23,42,19.94417029293254,0.47486119745077476
2020-03-25,17,15,32,15.27890160214156,0.4774656750669237
2020-03-26,93,16,109,28.688420431688428,0.26319651772191216
2020-03-27,24,15,39,15.889480989426374,0.4074225894724711
2020-03-28,13,12,25,11.348265431355685,0.4539306172542274
2020-03-29,0,0,0,0.0,0.5
2020-03-30,7,13,20,10.4311778023839,0.521558890119195
2020-03-31,11,16,27,14.29174542799592,0.5293239047405897
2020-04-01,10,16,26,14.522929057944566,0.5585741945363295
2020-04-02,7,19,26,16.273316339123994,0.6258967822739998
2020-04-03,15,23,38,21.506220132578164,0.5659531613836359
2020-04-04,8,9,17,8.504010018892586,0.5002358834642697
2020-04-05,4,29,33,23.698319107294083,0.7181308820392146
2020-04-06,4,8,12,7.647493978962302,0.6372911649135252
2020-04-07,4,9,13,8.037335570901632,0.6182565823770486
2020-04-08,16,8,24,8.379953453317285,0.3491647272215535
2020-04-09,17,18,35,19.463463809341192,0.5560989659811769
2020-04-10,9,15,24,13.942343924194574,0.5809309968414406
2020-04-11,8,43,51,33.77793143130839,0.6623123810060468
2020-04-12,5,10,15,8.037124121561646,0.5358082747707764
2020-04-13,9,12,21,11.277955301571637,0.5370454905510303
2020-04-14,4,4,8,3.5472502317279577,0.4434062789659947
