,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-02-01,0,0,0,0.0,0.5
2020-02-02,0,0,0,0.0,0.5
2020-02-03,0,0,0,0.0,0.5
2020-02-04,0,0,0,0.0,0.5
2020-02-05,0,0,0,0.0,0.5
2020-02-06,0,0,0,0.0,0.5
2020-02-07,0,0,0,0.0,0.5
2020-02-08,0,0,0,0.0,0.5
2020-02-09,0,0,0,0.0,0.5
2020-02-10,0,0,0,0.0,0.5
2020-02-11,0,0,0,0.0,0.5
2020-02-12,0,0,0,0.0,0.5
2020-02-13,0,0,0,0.0,0.5
2020-02-14,0,0,0,0.0,0.5
2020-02-15,0,0,0,0.0,0.5
2020-02-16,0,0,0,0.0,0.5
2020-02-17,0,0,0,0.0,0.5
2020-02-18,0,0,0,0.0,0.5
2020-02-19,0,0,0,0.0,0.5
2020-02-20,0,0,0,0.0,0.5
2020-02-21,0,0,0,0.0,0.5
2020-02-22,0,0,0,0.0,0.5
2020-02-23,0,0,0,0.0,0.5
2020-02-24,0,0,0,0.0,0.5
2020-02-25,0,0,0,0.0,0.5
2020-02-26,0,0,0,0.0,0.5
2020-02-27,0,0,0,0.0,0.5
2020-02-28,0,0,0,0.0,0.5
2020-02-29,0,0,0,0.0,0.5
2020-03-01,0,0,0,0.0,0.5
2020-03-02,0,0,0,0.0,0.5
2020-03-03,0,0,0,0.0,0.5
2020-03-04,3,2,5,2.701512061059475,0.540302412211895
2020-03-05,6,9,15,8.581060653552413,0.5720707102368275
2020-03-06,5,4,9,4.685516320168972,0.5206129244632192
2020-03-07,11,6,17,5.675509121268988,0.33385347772170515
2020-03-08,11,1,12,2.2507402724586427,0.18756168937155357
2020-03-09,7,8,15,7.036942349746823,0.46912948998312154
2020-03-10,11,7,18,6.471395052038133,0.35952194733545184
2020-03-11,9,12,21,9.415527048287913,0.44835843087085303
2020-03-12,11,8,19,6.540466388687491,0.34423507308881535
2020-03-13,7,32,39,24.981339286547154,0.6405471611935167
2020-03-14,8,12,20,10.296110955998302,0.514805547799915
2020-03-15,8,6,14,5.373502755071968,0.3838216253622834
2020-03-16,16,12,28,10.904636519728228,0.38945130427600816
2020-03-17,8,10,18,8.116806136444211,0.4509336742469006
2020-03-18,14,10,24,8.85470396000892,0.36894599833370495
2020-03-19,11,7,18,7.247154854238033,0.40261971412433517
2020-03-20,7,25,32,19.87235625833273,0.6210111330728978
2020-03-21,16,9,25,8.270199861377478,0.3308079944550991
2020-03-22,9,12,21,9.767799546942115,0.46513331175914835
2020-03-23,18,24,42,23.836810271255672,0.5675431016965636
2020-03-24,16,5,21,6.016006681136787,0.2864765086255613
2020-03-25,18,11,29,11.970351653173566,0.41277074666115743
2020-03-26,11,3,14,5.584194649010897,0.3988710463579212
2020-03-27,12,5,17,5.751135827507824,0.3383021075004602
2020-03-28,8,6,14,5.717901794239879,0.4084215567314199
2020-03-29,10,0,10,0.602886563166976,0.060288656316697595
2020-03-30,8,4,12,4.308366414159536,0.3590305345132947
2020-03-31,11,11,22,9.729223690927029,0.4422374404966831
2020-04-01,3,4,7,3.46381261292845,0.4948303732754929
2020-04-02,6,4,10,4.372580677270889,0.4372580677270889
2020-04-03,6,5,11,4.643938986584544,0.42217627150768583
2020-04-04,4,3,7,2.990229917690158,0.4271757025271654
2020-04-05,8,3,11,3.3494814787991345,0.30449831625446677
2020-04-06,8,4,12,3.7616632720455527,0.3134719393371294
2020-04-07,8,10,18,9.962688689120114,0.5534827049511174
2020-04-08,36,11,47,15.450203014537692,0.3287277237135679
2020-04-09,648,57,705,216.04878355935216,0.30645217526149243
2020-04-10,69,13,82,25.890143294353038,0.3157334548091834
2020-04-11,13,5,18,5.764067695476115,0.3202259830820064
2020-04-12,18,4,22,6.744214296340942,0.30655519528822467
2020-04-13,8,3,11,3.3050746177323163,0.300461328884756
2020-04-14,13,5,18,5.447264186106622,0.30262578811703456
2020-04-15,7,2,9,2.7907263105735183,0.3100807011748354
2020-04-16,10,5,15,6.550155361182988,0.4366770240788658
2020-04-17,6,1,7,1.9941198490560055,0.2848742641508579
2020-04-18,7,5,12,5.059719320386648,0.42164327669888735
