,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-02-01,0,0,0,0.0,0.5
2020-02-02,0,0,0,0.0,0.5
2020-02-03,0,0,0,0.0,0.5
2020-02-04,0,0,0,0.0,0.5
2020-02-05,0,0,0,0.0,0.5
2020-02-06,0,0,0,0.0,0.5
2020-02-07,0,0,0,0.0,0.5
2020-02-08,0,0,0,0.0,0.5
2020-02-09,0,0,0,0.0,0.5
2020-02-10,0,0,0,0.0,0.5
2020-02-11,0,0,0,0.0,0.5
2020-02-12,0,0,0,0.0,0.5
2020-02-13,0,0,0,0.0,0.5
2020-02-14,0,0,0,0.0,0.5
2020-02-15,1,0,1,0.11240862309932709,0.11240862309932709
2020-02-16,0,0,0,0.0,0.5
2020-02-17,0,0,0,0.0,0.5
2020-02-18,0,7,7,5.537746787071228,0.7911066838673183
2020-02-19,2,20,22,15.838069215416908,0.7199122370644049
2020-02-20,2,9,11,7.5651072561740875,0.6877370232885535
2020-02-21,3,11,14,10.102494925260544,0.7216067803757531
2020-02-22,34,9,43,22.548494040966034,0.5243835823480473
2020-02-23,3,2,5,2.900389812886715,0.580077962577343
2020-02-24,3,4,7,4.813579171895981,0.6876541674137115
2020-02-25,40,48,88,40.038714760914445,0.4549853950103914
2020-02-26,30,52,82,46.003118528053164,0.5610136405860142
2020-02-27,24,65,89,54.88884377013892,0.6167285816869541
2020-02-28,24,30,54,27.249874842818826,0.5046273119040523
2020-02-29,22,25,47,23.665997658390552,0.5035318650721394
2020-03-01,47,62,109,55.729081666329876,0.5112759785901824
2020-03-02,73,124,197,103.09418863384053,0.5233207544865002
2020-03-03,62,88,150,82.4702070299536,0.5498013801996907
2020-03-04,65,45,110,40.49550442118198,0.3681409492834725
2020-03-05,61,32,93,32.43678244808689,0.3487826069686762
2020-03-06,69,31,100,31.74738269415684,0.3174738269415684
2020-03-07,115,23,138,30.079115611501038,0.2179646058804423
2020-03-08,34,28,62,25.345765871927142,0.4088026753536636
2020-03-09,40,27,67,26.97074396861717,0.40254841744204733
2020-03-10,30,13,43,13.056377626024187,0.30363668897730667
2020-03-11,52,19,71,19.620846649631858,0.2763499528117163
2020-03-12,50,21,71,20.59331051283516,0.29004662694134026
2020-03-13,47,40,87,35.91493664262816,0.4128153637083697
2020-03-14,81,29,110,32.85152906598523,0.29865026423622937
2020-03-15,50,23,73,23.08952968707308,0.3162949272201792
2020-03-16,44,19,63,18.292894893325865,0.2903634110051725
2020-03-17,63,19,82,18.89302142430097,0.23040270029635326
2020-03-18,85,28,113,30.081410160288215,0.2662071695600727
2020-03-19,35,18,53,16.847728613764048,0.3178816719578122
2020-03-20,49,21,70,19.662064601667225,0.28088663716667467
2020-03-21,49,14,63,15.409268822986633,0.24459156861883544
2020-03-22,43,22,65,25.545381978619844,0.3930058765941514
2020-03-23,10,15,25,12.96974660642445,0.518789864256978
2020-03-24,21,15,36,14.267974501475692,0.3963326250409914
2020-03-25,11,29,40,25.8265990014188,0.6456649750354699
2020-03-26,2,34,36,26.96903091808781,0.7491397477246614
2020-03-27,6,7,13,6.423686467111111,0.4941297282393162
2020-03-28,9,5,14,5.869010789319873,0.4192150563799909
2020-03-29,3,5,8,4.69394788891077,0.5867434861138463
2020-03-30,4,5,9,4.688975431025028,0.5209972701138921
2020-03-31,7,8,15,7.2707611452788115,0.4847174096852541
2020-04-01,2,15,17,12.597444484941661,0.7410261461730389
2020-04-02,3,9,12,7.972643695771694,0.6643869746476412
2020-04-03,10,3,13,4.454526014626026,0.34265584727892506
2020-04-04,5,2,7,2.337297733873129,0.3338996762675898
2020-04-05,1,5,6,4.748399794101715,0.7913999656836191
2020-04-06,2,3,5,2.3624871484935284,0.4724974296987057
2020-04-07,9,3,12,2.661609508097172,0.221800792341431
2020-04-08,10,2,12,2.628290745895356,0.219024228824613
2020-04-09,3,7,10,6.237234458327293,0.6237234458327293
2020-04-10,4,2,6,1.8797637782990932,0.31329396304984886
2020-04-11,5,16,21,12.54444888792932,0.5973547089490152
2020-04-12,3,29,32,22.187697120010853,0.6933655350003392
2020-04-13,0,6,6,4.706106662750244,0.784351110458374
2020-04-14,4,2,6,2.188186085317284,0.36469768088621396
