,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-02-01,0,0,0,0.0,0.5
2020-02-02,0,0,0,0.0,0.5
2020-02-03,0,0,0,0.0,0.5
2020-02-04,0,0,0,0.0,0.5
2020-02-05,0,0,0,0.0,0.5
2020-02-06,0,0,0,0.0,0.5
2020-02-07,0,0,0,0.0,0.5
2020-02-08,0,0,0,0.0,0.5
2020-02-09,0,0,0,0.0,0.5
2020-02-10,0,0,0,0.0,0.5
2020-02-11,0,0,0,0.0,0.5
2020-02-12,0,0,0,0.0,0.5
2020-02-13,0,0,0,0.0,0.5
2020-02-14,0,0,0,0.0,0.5
2020-02-15,0,0,0,0.0,0.5
2020-02-16,0,0,0,0.0,0.5
2020-02-17,0,0,0,0.0,0.5
2020-02-18,0,0,0,0.0,0.5
2020-02-19,0,0,0,0.0,0.5
2020-02-20,0,0,0,0.0,0.5
2020-02-21,0,0,0,0.0,0.5
2020-02-22,1,1,2,1.1534594893455505,0.5767297446727753
2020-02-23,3,1,4,1.533605620265007,0.38340140506625175
2020-02-24,1,4,5,3.7020350098609924,0.7404070019721984
2020-02-25,1,1,2,0.7854588553309441,0.39272942766547203
2020-02-26,1,4,5,3.5363374650478363,0.7072674930095673
2020-02-27,0,0,0,0.0,0.5
2020-02-28,0,0,0,0.0,0.5
2020-02-29,0,0,0,0.0,0.5
2020-03-01,0,1,1,0.7095081210136414,0.7095081210136414
2020-03-02,0,3,3,2.306314170360565,0.7687713901201884
2020-03-03,0,1,1,0.8074862360954285,0.8074862360954285
2020-03-04,0,1,1,0.8230207562446594,0.8230207562446594
2020-03-05,1,3,4,2.930371046066284,0.732592761516571
2020-03-06,1,5,6,4.034759104251862,0.6724598507086436
2020-03-07,1,1,2,1.088012307882309,0.5440061539411545
2020-03-08,1,2,3,1.2965319491922855,0.4321773163974285
2020-03-09,0,3,3,2.318621873855591,0.7728739579518636
2020-03-10,2,5,7,4.242794647812843,0.6061135211161205
2020-03-11,2,4,6,3.1321124746464193,0.5220187457744032
2020-03-12,0,2,2,1.3999871611595154,0.6999935805797577
2020-03-13,3,1,4,1.2853401694446802,0.32133504236117005
2020-03-14,1,2,3,2.074870526790619,0.6916235089302063
2020-03-15,0,0,0,0.0,0.5
2020-03-16,2,1,3,1.3629461750388145,0.45431539167960483
2020-03-17,0,0,0,0.0,0.5
2020-03-18,0,2,2,1.8099376559257507,0.9049688279628754
2020-03-19,1,1,2,1.0006973147392273,0.5003486573696136
2020-03-20,0,1,1,0.5430634021759033,0.5430634021759033
2020-03-21,1,2,3,1.870175790041685,0.623391930013895
2020-03-22,1,5,6,4.239587962627411,0.7065979937712351
2020-03-23,0,10,10,7.602150619029999,0.7602150619029999
2020-03-24,1,13,14,9.653821379179135,0.6895586699413668
2020-03-25,4,6,10,5.063226553611457,0.5063226553611457
2020-03-26,1,3,4,2.1851429734379053,0.5462857433594763
2020-03-27,2,44,46,34.20052534341812,0.7434896813786548
2020-03-28,1,14,15,10.91177722811699,0.7274518152077992
2020-03-29,0,7,7,5.036187529563904,0.719455361366272
2020-03-30,0,3,3,2.4192989468574524,0.8064329822858175
2020-03-31,0,7,7,4.75304651260376,0.67900664465768
2020-04-01,3,7,10,6.956452384591103,0.6956452384591103
2020-04-02,1,2,3,1.4759533256292343,0.49198444187641144
2020-04-03,1,2,3,1.7807461023330688,0.593582034111023
2020-04-04,1,0,1,0.0252780020236969,0.0252780020236969
2020-04-05,2,2,4,2.07792766392231,0.5194819159805775
2020-04-06,3,7,10,5.927154939621687,0.5927154939621687
2020-04-07,3,7,10,5.974901407957077,0.5974901407957077
2020-04-08,5,15,20,13.539925737306476,0.6769962868653238
2020-04-09,5,26,31,22.118323475122452,0.7134943056491113
2020-04-10,3,4,7,3.720991374924779,0.5315701964178255
2020-04-11,2,3,5,2.5524828489869833,0.5104965697973967
2020-04-12,2,2,4,1.853755071759224,0.463438767939806
2020-04-13,3,4,7,3.6122262561693788,0.5160323223099113
2020-04-14,10,4,14,3.963071512756869,0.28307653662549065
2020-04-15,5,3,8,2.499386101961136,0.312423262745142
2020-04-16,3,4,7,3.6130416486412287,0.516148806948747
